frame_number,timestamp,R0,R1,R2,R3,R4,R5,R6,R7
0,0.0,2.9353232068189143,3.030551068789642,0.3467344164258393,2.9385027224508042,3.034267407515399,0.2883054145226281,2.878135586750577,2.8306109468345766
1,33.333333333333336,2.936494155382832,3.011477598024724,0.33369139814492926,2.974836729201203,3.058674812697523,0.2946393517049595,2.879796470910092,2.82570435770623
2,66.66666666666667,2.936589646198437,2.997119636124378,0.3257846638506479,2.9949785084074025,3.068356692352102,0.2994042664334786,2.877434093309213,2.813764539454704
3,100.0,2.9385930335804074,2.9806458750038827,0.3253923767622416,3.0025036355372494,3.067627246987633,0.3085768240120254,2.8719887719377,2.810847928487166
4,133.33333333333334,2.9411223106364526,2.9644250433818176,0.3255581900605916,3.0044072159036967,3.0732323202748573,0.31279308555057844,2.880007521412752,2.8264167858376705
5,166.66666666666669,2.9461338054038335,2.95483864523249,0.3268302289908818,3.008395388794551,3.085786642326378,0.3174458699305386,2.8794678924370745,2.830903450377674
6,200.0,2.946348926161459,2.951127702891806,0.3267721402809768,3.005332224648727,3.0868706479005206,0.3192308545899642,2.881455632071304,2.8295659689393684
7,233.33333333333334,2.9464012078344695,2.948445507929978,0.32692319245199264,3.0031557513203873,3.087554147459546,0.3206003516394002,2.8826284894376095,2.828092541948397
8,266.6666666666667,2.9473982487661505,2.944905771729745,0.3260244342876281,3.0019573065680496,3.0964846910900388,0.3219347323568772,2.8880314503517934,2.8323412543470607
9,300.0,2.949581754745596,2.9423371234686453,0.3231714957107361,3.0099022682513485,3.127478694964804,0.3223675993749157,2.8981453914259845,2.8465069077678757
10,333.33333333333337,2.945115957664211,2.932491050616658,0.3223224556172604,3.0118620395958975,3.1372491443460593,0.3264973931503403,2.9072385214789715,2.8569267253141506
11,366.6666666666667,2.940941853937983,2.9357882190284936,0.3202290998970066,3.0162927643931954,3.140763280991202,0.32117045364663943,2.911449469570602,2.863189756052369
12,400.0,2.944384836520731,2.928754740774765,0.31799566307624644,3.015631202601513,3.141346148571579,0.3263689598720967,2.912485987055609,2.864470970622363
13,433.33333333333337,2.9489160231232288,2.922418930738492,0.3173129404129397,3.013782946010036,3.1362001453889663,0.3263818300637172,2.91276936937761,2.865131577608946
14,466.6666666666667,2.9502416658463333,2.9229563649425847,0.31836932569308546,3.011981609838628,3.1322758245996303,0.3259409212637317,2.9154715229794075,2.86809673150346
15,500.0,2.9492451232051184,2.9275046936332862,0.3159092759436147,3.0139586761314807,3.133824072074376,0.32184085059746403,2.9242664923816037,2.8800561818532593
16,533.3333333333334,2.9223479346185948,2.932966863603857,0.3142072912520096,3.014010146159208,3.1351763414283753,0.3163334231428152,2.9248760477555136,2.8829374304351494
17,566.6666666666666,2.9222020142962633,2.936100345808968,0.31306472295333587,3.0152893140555617,3.13460868109748,0.31489934370301736,2.9270777485074406,2.8848988160204017
18,600.0,2.9099671327441925,2.9395537398014326,0.3074071602045575,3.0185264298117116,3.134803154112699,0.3082044024474427,2.927421292116322,2.879231889472327
19,633.3333333333334,2.9092674350684002,2.937524924843058,0.304615414966661,3.0191903533674243,3.132649592204952,0.30816665878189,2.9308767785951937,2.8770954130752053
20,666.6666666666667,2.9308356498970807,2.933493224565001,0.30496511654356023,3.0213137550853237,3.135056798953402,0.3109539984392352,2.9296760046544787,2.86523646214488
21,700.0000000000001,2.908907834038976,2.9454187624564176,0.2966096330738922,3.0274462625123073,3.132647069400708,0.30412112950931375,2.9173061777129896,2.849992242933356
22,733.3333333333334,2.989818304701316,2.9512352435408324,0.27083092054807223,3.0234101587096953,3.13201319703829,0.3035062707387278,2.9112731952083686,2.850252248044723
