frame_number,timestamp,R0,R1,R2,R3,R4,R5,R6,R7
0,0.0,2.864734411349811,3.110891367187148,0.29334984641276596,3.0886943814972003,3.104154955729098,0.17663173827258635,3.0789596178591276,3.129040263371531
1,33.333333333333336,2.8904021605180445,3.13808122000112,0.27900498814076885,3.094753428687816,3.114676294037609,0.17858065361430814,3.069951162944992,3.139125339221717
2,66.66666666666667,2.9027113202215826,3.128662808130851,0.27778856238185834,3.094673323657143,3.1215931034388755,0.1792461585339484,3.0661943477607507,3.140393150188677
3,100.0,2.9189387370663775,3.1399060582794873,0.2881173143284047,3.103749473319219,3.129243180921897,0.1856269438780467,3.058396230527623,3.134519495065005
4,133.33333333333334,2.908730743388895,3.1392939181108295,0.3125662460624466,3.1046632598097363,3.131874435550964,0.19785215592098707,3.0585632182680604,3.1322879767959124
5,166.66666666666669,2.8412901815308413,3.0988603113164768,0.3556148968577167,3.1029477995634926,3.1341632065340916,0.23026736267323014,3.053215343402801,3.127415164266876
6,200.0,2.7845003830483854,3.018537710022866,0.37539230058201656,3.1046560380659334,3.1383425666975486,0.2687965873679005,3.0533295989422675,3.1269122755905063
7,233.33333333333334,2.0189047823646904,2.840104850376221,0.39460003712668856,3.1058538736723555,3.1330068932973267,0.2833765270368019,3.0593984723858902,3.132456329587948
8,266.6666666666667,0.4177074724513299,0.2683448826297429,0.3906193816625543,3.105980598614089,3.1266259535265304,0.2931200155160446,3.072270632699377,3.1391731757971923
9,300.0,0.13120081717304902,0.1017713905849258,0.39118929264201424,3.1132535405437,3.117410512736163,0.26371195363367955,3.074714328301774,3.1380033221631773
10,333.33333333333337,0.07498223931340499,0.22728231046338102,0.31365227309283966,3.117290890753943,3.102975411298461,0.2214201234248334,3.0724258312006794,3.1283859965930425
11,366.6666666666667,0.1151875951925528,0.2608318554621274,0.18333889456047514,3.1147688710010173,3.0961268108473683,0.10908942344333078,3.0832005625236025,3.119823921474892
12,400.0,0.19024207364303186,0.3678535456311931,0.09803664619299521,3.1151162981235756,3.081532017403807,0.012940263791928254,3.090924600629328,3.109008980054069
13,433.33333333333337,0.2203349127849015,0.41591148775256553,0.056731263947723466,3.116007729829472,3.074158197701303,0.06772174735454041,3.0897278203801952,3.107693618575067
14,466.6666666666667,0.2014136444471793,0.43123277451691366,0.0480509466035387,3.1119179442652056,3.0668092141180794,0.0779001048195327,3.0940192833002977,3.106540750601277
15,500.0,0.12763898574107105,0.39456524393532055,0.12860829892684814,3.116530861214372,3.0712013457438587,0.06147812873011567,3.0938206514869355,3.106645245624982
16,533.3333333333334,0.08822046873195152,0.15350326555902435,0.4195738125853222,3.125748412646608,3.0719446114909417,0.20341446661256293,3.093789356431549,3.114218936216383
17,566.6666666666666,0.19655044102441213,0.012499542025801343,0.5369081007125462,3.130123987548019,3.072112158628161,0.3366101102633251,3.091597844286808,3.120461711813207
18,600.0,0.7227891124198239,0.8246227643941678,1.0979542476944846,3.117409231173305,3.082560978453455,1.1899296033126645,3.110221767920239,3.125757048322324
19,633.3333333333334,0.887985698940472,0.9736803183276486,1.2784329112195534,3.099753618127118,3.0957956770892343,1.3082321655642017,3.120159329615353,3.1367700812269725
20,666.6666666666667,1.0169632567575224,0.9946376820461087,1.3726331412838892,3.0824386815003333,3.105828739928007,1.2901086185893682,3.1250210495260125,3.139160669257991
21,700.0000000000001,1.132330317990666,1.0423021901819423,1.3890396051916611,3.0734898491816294,3.1198067374163436,1.2817488982494765,3.12957726069611,3.1370951399689053
22,733.3333333333334,1.284484572554616,1.0922175082616352,1.456945125389887,3.057908793467927,3.1157162892174854,1.2253733158067128,3.134200582758594,3.1247450555689027
23,766.6666666666667,1.3621663472973988,1.0194863266367247,1.4859499711506663,3.05038580755521,3.118108764696597,1.1869425946720873,3.1390050439804273,3.128960445366341
24,800.0,1.2883792007592416,0.9715667212993254,1.5397404802758599,3.044619960891357,3.1153896074957763,1.2023917374280217,3.140258954895576,3.1210217626261163
25,833.3333333333334,1.148394730450988,0.9043762291906968,1.509952912911205,3.045030350193718,3.1165702626544434,1.2326289889391733,3.1375770625156845,3.1173589053817596
