frame_number,timestamp,R0,R1,R2,R3,R4,R5,R6,R7
0,0.0,1.770292691996279,2.350132389732952,0.7509695058031074,3.1038665911685803,2.6034607437689514,0.31749439143432867,3.1174111710593273,2.686047199870891
1,33.333333333333336,1.789776549867698,2.3248181148467504,0.740030099076818,3.0362136512362046,2.329852888904137,0.32064093990273906,3.0594776500852325,2.454003828509144
2,66.66666666666667,1.9024176282872598,2.312215131668231,0.6491890150514878,2.8654926208352034,1.987462546247589,0.2900016024892639,2.927759193842779,2.2011594527600518
3,100.0,2.0772026083708512,2.495531609539328,0.44125704712533403,2.824504849240538,1.863688712524962,0.18240351754010733,2.8759400763336904,2.0476026521458186
4,133.33333333333334,2.121445633318243,2.516745306774998,0.1361147261283951,2.815429810002951,1.8302515878819863,0.1320007840582857,2.8447430261651596,1.9862115695446643
5,166.66666666666666,2.10885908891629,2.4126799091694062,0.08261242279906197,2.864832586485766,1.8955808945914945,0.025891972644414608,2.935498614029949,2.0718303364297928
6,200.0,1.9891398482126714,2.00965395315556,0.2520214639284579,2.9409452368704945,1.9934101945497535,0.1529073193873935,2.965732926541598,2.1290795983291186
7,233.33333333333334,2.037524191025267,2.2735265519407792,0.4951823935273176,3.071802687130858,2.266728345299807,0.15897479964443045,3.0769511516131987,2.431771083080659
8,266.6666666666667,1.719491726720314,2.309413121196254,0.5499231847316003,3.104786652859513,2.5432511294176883,0.2465945053275407,3.1043947204834588,2.6229214097090034
9,300.0,1.4013399735818213,0.9670749311028292,0.5214067801875583,3.1278715102964387,2.5389519905847355,0.012024128302297134,3.098222411204934,2.4687491870353613
10,333.3333333333333,0.707661128732692,1.7312195829452954,0.5009628935432636,3.1279059666844393,2.4151534345780883,0.015702014130481348,3.0204584198425777,2.2187096667725688
11,366.66666666666663,0.41388667885261293,0.7103919408007053,0.5001803306707328,3.078233677446844,2.382824384944779,0.4829649389045846,2.981949383247673,2.0113651482144244
12,400.0,0.16693331871134715,2.3578973606795106,0.4896109376393643,2.9864395567843163,2.406000822325444,0.3778445001410416,2.9528479390829347,1.8562989080176597
13,433.33333333333337,0.1412071478804227,2.901144204996286,0.4341424993506982,2.949451483525319,2.3932775806521165,0.13514919889507196,3.004041945664329,1.7045490641807377
14,466.6666666666667,0.20061771325383446,3.046304993161896,0.38799036408923643,2.949706434440868,2.408616240384356,0.06789378599124611,3.106162915472903,1.5638460742100566
